matric_percentage,science_aptitude,extracurricular_score,city_tier,recommended_field,college_tier
95.05,0.52,66.3,Urban,Pre-Medical,Top-Tier Government College
60.55,0.737,11.4,Metro,Arts/Humanities,Standard College
68.53,0.164,53.5,Metro,Commerce,Top-Tier Government College
74.52,0.509,55.2,Metro,Commerce,Top-Tier Government College
55.38,0.896,30.8,Rural,Arts/Humanities,Mid-Tier College
68.03,0.704,53.5,Metro,Commerce,Mid-Tier College
67.99,0.447,39.2,Rural,Computer Science,Mid-Tier College
39.92,0.025,25.4,Urban,Arts/Humanities,Standard College
84.28,0.931,23.9,Metro,Pre-Engineering,Mid-Tier College
77.61,0.982,60.2,Rural,Computer Science,Mid-Tier College
57.99,0.784,61.0,Metro,Commerce,Mid-Tier College
65.26,0.229,71.2,Urban,Commerce,Top-Tier Government College
76.08,0.583,64.4,Urban,Commerce,Mid-Tier College
63.82,0.804,59.2,Rural,Arts/Humanities,Mid-Tier College
64.12,0.531,28.5,Urban,Arts/Humanities,Standard College
44.75,0.97,45.7,Urban,Arts/Humanities,Standard College
76.87,0.596,44.3,Metro,Commerce,Top-Tier Government College
69.98,0.006,89.6,Urban,Commerce,Top-Tier Government College
72.39,0.297,32.5,Urban,Commerce,Top-Tier Government College
43.58,0.996,24.2,Metro,Arts/Humanities,Standard College
94.41,0.981,29.8,Rural,Pre-Medical,Top-Tier Government College
70.47,0.923,69.7,Rural,Computer Science,Mid-Tier College
61.81,0.206,37.2,Rural,Arts/Humanities,Standard College
100.0,0.254,64.3,Urban,Pre-Engineering,Top-Tier Government College
67.27,0.605,39.7,Metro,Commerce,Top-Tier Government College
44.79,0.035,70.3,Metro,Arts/Humanities,Standard College
61.52,0.891,19.3,Metro,Commerce,Mid-Tier College
33.0,0.49,40.9,Metro,Arts/Humanities,Standard College
84.79,0.731,61.6,Metro,Computer Science,Mid-Tier College
61.34,0.613,45.2,Urban,Arts/Humanities,Standard College
56.12,0.361,32.0,Metro,Commerce,Standard College
85.16,0.903,78.3,Urban,Pre-Engineering,Top-Tier Government College
41.58,0.244,22.0,Metro,Arts/Humanities,Standard College
76.57,0.512,33.0,Rural,Computer Science,Mid-Tier College
34.97,0.421,72.3,Metro,Arts/Humanities,Standard College
57.41,0.718,83.7,Urban,Arts/Humanities,Mid-Tier College
48.73,0.707,49.7,Metro,Arts/Humanities,Standard College
91.39,0.451,24.9,Metro,Pre-Engineering,Top-Tier Government College
96.26,0.33,24.4,Metro,Pre-Engineering,Top-Tier Government College
62.73,0.209,32.7,Metro,Commerce,Mid-Tier College
81.45,0.047,48.0,Rural,Computer Science,Mid-Tier College
65.12,0.44,76.3,Urban,Computer Science,Top-Tier Government College
77.09,0.003,67.8,Metro,Commerce,Mid-Tier College
55.95,0.353,68.9,Rural,Commerce,Standard College
40.67,0.969,40.0,Metro,Arts/Humanities,Standard College
39.15,0.652,64.6,Metro,Arts/Humanities,Standard College
74.13,0.414,65.7,Urban,Commerce,Mid-Tier College
100.0,0.944,66.7,Metro,Pre-Medical,Top-Tier Government College
72.31,0.995,49.6,Metro,Commerce,Mid-Tier College
59.61,0.777,41.8,Metro,Commerce,Mid-Tier College
98.59,0.304,72.0,Rural,Pre-Engineering,Top-Tier Government College
71.8,0.886,81.0,Metro,Commerce,Top-Tier Government College
69.62,0.791,45.6,Rural,Computer Science,Top-Tier Government College
72.04,0.649,57.0,Urban,Computer Science,Top-Tier Government College
65.88,0.469,71.7,Metro,Commerce,Mid-Tier College
63.05,0.269,80.3,Metro,Arts/Humanities,Mid-Tier College
45.04,0.298,84.9,Rural,Arts/Humanities,Mid-Tier College
76.03,0.518,50.7,Rural,Computer Science,Top-Tier Government College
66.48,0.505,75.3,Urban,Commerce,Mid-Tier College
87.09,0.452,26.4,Rural,Computer Science,Top-Tier Government College
62.1,0.796,6.6,Metro,Arts/Humanities,Standard College
37.5,0.249,41.6,Metro,Arts/Humanities,Standard College
66.41,0.123,57.1,Metro,Commerce,Mid-Tier College
95.19,0.171,20.3,Urban,Pre-Engineering,Top-Tier Government College
61.87,0.62,47.2,Metro,Commerce,Mid-Tier College
53.76,0.032,53.6,Rural,Commerce,Mid-Tier College
48.9,0.312,49.6,Metro,Arts/Humanities,Standard College
51.2,0.171,55.4,Urban,Arts/Humanities,Mid-Tier College
63.2,0.027,72.2,Urban,Commerce,Standard College
49.12,0.943,44.9,Urban,Arts/Humanities,Mid-Tier College
91.96,0.364,40.9,Metro,Pre-Engineering,Top-Tier Government College
63.48,0.901,60.9,Metro,Arts/Humanities,Standard College
