student_id,age,gender,attendance_rate,avg_test_score,assignments_submitted_pct,family_income_level,parental_education,study_hours_per_week,extracurricular,previous_semester_gpa,lms_login_frequency_per_week,dropout_risk
STU1000,23,Male,94.72,87.2,45.45,Low,None,14.86,No,1.19,6,0
STU1001,20,Female,94.71,100.0,41.45,Low,Secondary,9.26,No,1.21,4,0
STU1002,24,Male,77.93,66.16,78.93,Low,Graduate,12.81,No,2.2,5,1
STU1003,21,Male,89.6,34.99,70.31,High,Graduate,13.05,No,2.04,4,1
STU1004,23,Male,52.66,66.13,75.65,High,Secondary,7.29,No,2.6,3,0
STU1005,19,Female,67.21,66.62,64.26,Medium,Graduate,9.76,No,3.01,2,0
STU1006,23,Female,67.52,77.22,52.8,Low,Secondary,14.76,Yes,1.57,1,0
STU1007,24,Male,96.78,64.65,87.29,Medium,Postgraduate,9.91,No,2.46,2,0
STU1008,21,Male,87.82,66.2,25.74,Medium,Secondary,13.06,No,2.2,3,0
STU1009,20,Female,80.77,53.62,58.97,High,Graduate,14.48,No,4.0,8,0
STU1010,24,Female,82.23,59.39,90.73,Medium,Postgraduate,14.25,No,1.49,3,0
STU1011,24,Female,100.0,74.24,56.98,High,Graduate,18.65,Yes,1.99,0,0
STU1012,19,Female,75.45,28.85,82.83,High,None,7.09,Yes,2.63,5,0
STU1013,22,Female,58.29,59.29,58.99,High,Graduate,18.21,No,2.0,6,1
STU1014,21,Female,94.31,77.38,65.88,Low,None,12.37,Yes,3.51,7,0
STU1015,18,Female,80.73,94.53,86.5,Low,None,14.17,No,1.78,5,0
STU1016,24,Female,92.31,57.83,49.44,Medium,None,13.48,Yes,1.87,1,0
STU1017,22,Female,77.33,86.34,89.91,Medium,Postgraduate,13.23,No,3.58,2,0
STU1018,18,Male,65.42,95.42,75.92,Low,Postgraduate,6.81,No,1.65,6,0
STU1019,21,Male,84.04,58.06,100.0,Low,Secondary,13.99,No,3.27,9,1
STU1020,17,Male,78.15,54.95,79.16,Medium,Secondary,2.81,Yes,2.24,1,1
STU1021,22,Female,80.77,61.72,53.61,Medium,Postgraduate,20.48,No,2.11,5,0
STU1022,25,Male,100.0,63.52,100.0,Low,Secondary,11.91,Yes,2.19,3,0
STU1023,17,Female,61.52,84.63,55.28,Medium,Secondary,15.8,Yes,1.7,2,1
STU1024,19,Female,82.29,51.07,70.46,Medium,Secondary,13.41,Yes,3.33,5,0
STU1025,23,Male,65.72,92.69,94.15,Medium,Graduate,10.18,No,2.71,4,0
STU1026,20,Female,39.14,50.59,37.4,Low,Secondary,7.3,Yes,3.31,0,1
STU1027,25,Male,77.27,42.24,100.0,Medium,Graduate,6.35,No,3.54,5,0
STU1028,19,Male,78.47,74.43,51.98,Medium,Secondary,13.9,Yes,3.03,5,0
STU1029,21,Male,87.35,87.15,65.9,Low,Secondary,13.63,Yes,1.44,7,0
STU1030,19,Female,74.74,68.22,80.78,Medium,Secondary,12.79,Yes,1.82,3,0
STU1031,23,Male,55.66,72.83,74.17,Medium,None,9.41,No,3.28,0,0
STU1032,21,Female,65.66,100.0,90.78,Low,Secondary,12.07,Yes,2.64,3,0
STU1033,25,Male,97.75,87.4,42.98,Medium,None,7.89,No,3.12,7,0
STU1034,23,Male,65.45,65.56,89.55,Low,Graduate,6.6,No,2.53,4,1
STU1035,18,Male,100.0,57.24,91.14,Low,Secondary,8.61,No,2.26,7,0
STU1036,20,Female,93.75,84.71,95.58,High,Graduate,8.83,Yes,3.12,1,0
STU1037,25,Female,73.23,79.93,43.21,Low,Postgraduate,17.32,No,1.22,7,1
STU1038,18,Female,67.06,72.53,45.62,High,Graduate,3.17,No,2.34,5,1
STU1039,25,Male,93.72,59.11,68.15,Medium,Postgraduate,9.83,No,2.65,3,0
STU1040,21,Male,74.39,63.62,47.78,Low,Graduate,13.16,No,2.77,8,1
STU1041,18,Female,54.82,62.34,38.92,Low,Secondary,19.93,No,1.56,5,1
STU1042,20,Female,86.43,59.41,67.29,Medium,Postgraduate,6.96,Yes,1.6,2,0
STU1043,23,Female,84.26,54.18,79.68,Medium,Graduate,4.42,No,2.29,7,0
STU1044,24,Female,95.07,69.77,100.0,Low,Graduate,13.61,Yes,2.55,4,0
STU1045,19,Female,83.24,53.37,85.97,Low,Graduate,10.82,Yes,3.84,5,0
STU1046,17,Female,69.76,68.19,100.0,Medium,Graduate,8.9,Yes,1.9,2,1
STU1047,20,Male,97.05,27.2,74.12,Low,None,12.19,No,2.21,4,1
STU1048,18,Female,98.5,54.2,86.19,High,Graduate,14.31,No,3.87,2,0
