intermediate_percentage,entry_test_score,field,city_tier,suggested_program,university_tier
92.24,58.46,Computer Science,Urban,Computer Science,Mid-Tier Public University
61.71,61.3,Pre-Medical,Rural,Business Administration,Private University
58.73,62.2,Computer Science,Metro,Social Sciences,Mid-Tier Public University
33.0,30.46,Pre-Engineering,Metro,Engineering,Private University
65.88,43.8,Commerce,Rural,Engineering,Private University
61.21,59.03,Pre-Engineering,Metro,Computer Science,Mid-Tier Public University
57.95,67.26,Computer Science,Metro,Business Administration,Mid-Tier Public University
70.73,72.29,Commerce,Rural,Business Administration,Mid-Tier Public University
72.32,54.66,Computer Science,Metro,Business Administration,Mid-Tier Public University
50.02,48.96,Arts/Humanities,Metro,Social Sciences,Private University
52.71,71.87,Pre-Engineering,Metro,Engineering,Private University
58.86,72.46,Commerce,Metro,Social Sciences,Mid-Tier Public University
76.35,92.81,Commerce,Metro,Business Administration,Top Public University
74.42,72.37,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
46.42,54.3,Computer Science,Urban,Computer Science,Private University
49.21,47.83,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
77.05,75.0,Computer Science,Metro,Computer Science,Private University
89.62,75.84,Computer Science,Metro,Computer Science,Mid-Tier Public University
65.53,64.9,Commerce,Rural,Computer Science,Top Public University
55.75,67.23,Pre-Medical,Metro,Computer Science,Private University
82.43,83.22,Computer Science,Urban,Computer Science,Mid-Tier Public University
61.36,38.53,Arts/Humanities,Metro,Computer Science,Private University
76.89,83.14,Arts/Humanities,Metro,Social Sciences,Private University
89.24,75.3,Pre-Medical,Metro,Medicine (MBBS),Mid-Tier Public University
75.45,81.05,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
67.1,56.83,Computer Science,Rural,Social Sciences,Private University
76.98,95.06,Arts/Humanities,Urban,Social Sciences,Top Public University
56.36,53.29,Pre-Engineering,Rural,Engineering,Private University
63.33,75.25,Pre-Engineering,Rural,Social Sciences,Private University
57.39,39.76,Commerce,Rural,Social Sciences,Private University
62.93,60.12,Arts/Humanities,Metro,Social Sciences,Top Public University
58.7,59.65,Arts/Humanities,Rural,Engineering,Private University
63.21,45.71,Commerce,Rural,Computer Science,Top Public University
60.29,52.77,Pre-Medical,Metro,Business Administration,Private University
67.33,60.18,Computer Science,Rural,Engineering,Mid-Tier Public University
66.96,67.4,Computer Science,Rural,Computer Science,Mid-Tier Public University
70.45,70.5,Computer Science,Urban,Business Administration,Mid-Tier Public University
87.04,66.44,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
42.8,56.1,Arts/Humanities,Rural,Computer Science,Private University
